Column1,Column2,Column3
BulletinInnerDiploTut,Verify identity,"<span style=""font-family: ko-7px, regular_short; position: relative; top: -2px;"">신원 확인</span>"
BulletinInnerDiploTut,Verify diplomatic access to Arstotzka,"<span style=""font-family: ko-7px, regular_short; position: relative; top: -2px;"">아스토츠카에 대한 외교적 접근 권한 확인</span>"
BulletinInnerMissingTut,Missing documents can be correlated by highlighting counter and pertinent entry in rule book.,누락된 서류는 규정집 위로 표시 및 관련 항목을 강조해 연관시킬 수 있음
BulletinInnerRuleTut,Correlate pertinent entry in rule book with violating information to enable further options.,잘못된 정보의 경우 규정집의 관련 항목과 연관시켜 추가 행동을 취하시오
BulletinInnerContraTut,Correlate discovered weapons and contraband with rulebook entry.,무기 및 밀수품이 발견될 경우 규정서 내 항목에 연관 지으시오
BulletinInnerCorrelateTut,Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.,"""검사"" 모드를 통해 일치하지 않는 정보 두 개를 강조해 심문할 수 있음"
BulletinInnerTouchTut,Touch and drag to fine-tune highlighted selection.,터치 및 드래그로 강조된<br>항목을 조정할 수 있음
BulletinInnerPassportTut,Pay attention to passport nationality.,"<span style=""line-height:12px;"">여권에 표기된 국적을<br>잘 확인하시오</span>"
BulletinInnerBoothTut,Arstotzkan<br>Ministry of Admission,"<span style=""position: relative; top: 1px; font-family: ko-7px, regular_short;"">아스토츠카<br>입국부</span>"
BulletinInnerBoothTut,Inspector's Booth,"<span style=""
position: relative; top: 1px"">검사관 심사대</span>"
BulletinInnerBoothTut,Shutter,"<span style=""position: relative; top: -2px; font-family: ko-7px, regular_short;"">셔터</span>"
BulletinInnerBoothTut,Counter,"<span style=""position: relative; top: -2px; font-family: ko-7px, regular_short;"">검사대</span>"
BulletinInnerBoothTut,Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date,"<span style=""position: relative; top: -2px; font-family: ko-7px, regular_short;"">규정집<br>음성 기록<br>공고문 목록<br>시간 &amp; 날짜</span>"
BulletinInnerBoothTut2,Arstotzkan<br>Ministry of Admission,"<span style=""position: relative; top: 1px; font-family: ko-7px, regular_short;"">아스토츠카<br>입국부</span>"
BulletinInnerBoothTut2,Inspector's Booth,"<span style=""
position: relative; top: 1px"">검사관 심사대</span>"
BulletinInnerBoothTut2,Shutter,"<span style=""position: relative; top: -2px; font-family: ko-7px, regular_short;"">셔터</span>"
BulletinInnerBoothTut2,Counter,"<span style=""position: relative; top: -1px; font-family: ko-7px, regular_short;"">검사대</span>"
BulletinInnerBoothTut2,Audio Transcript<br>Rule Book<br>Weight<br>,"<span style=""position: relative; top: -1px; font-family: ko-7px, regular_short;"">음성 기록<br>규정집<br>중량<br></span>"
BulletinInnerBoothTut2,Bulletin Storage<br>Time &amp; Date,"<span style=""position: relative; top: -1px; font-family: ko-7px, regular_short;"">공고문 목록<br>시간 &amp; 날짜</span>"
BulletinInnerBoothTut3,Arstotzkan<br>Ministry of Admission,"<span style=""position: relative; top: 1px; font-family: ko-7px, regular_short;"">아스토츠카<br>입국부</span>"
BulletinInnerBoothTut3,Inspector's Booth,"<span style=""
position: relative; top: 1px"">검사관 심사대</span>"
BulletinInnerBoothTut3,Shutter<br>Time &amp; Date<br>Weight,"<span style=""position: relative; top: -2px; font-family: ko-7px, regular_short;"">셔터<br>시간 &amp; 날짜<br>중량</span>"
BulletinInnerBoothTut3,Counter,"<span style=""position: relative; top: -2px; font-family: ko-7px, regular_short;"">검사대</span>"
BulletinInnerBoothTut3,Rule Book<br>Audio Transcript<br>Bulletin,"<span style=""position: relative; top: -2px; font-family: ko-7px, regular_short;"">규정집<br>음성 기록<br>공고</span>"
BulletinInnerGunTut,Weapons Protocol,무장 규약
BulletinInnerGunTut,WHEN ALARM SOUNDS,"<span style=""position: relative; top: -2px; font-family: ko-7px, regular_short;"">경보가 울릴 시</span>"
BulletinInnerGunTut,Drop key on tumbler to unlock weapon.,"<span style=""
position: relative; top: 2px;line-height:10px"">열쇠를 텀블러에 넣고<br>무기를 잠금 해제하시오</span>"
BulletinInnerGunTut,"Select gun, aim and fire.","<span style=""
position: relative; top: 2px;
line-height:11px;"">총을 선택하고 조준 후 발사</span>"
BulletinInnerGunTut,Time is short. Act fast.,"<span style=""
position: relative; top: 7px;
line-height: 10px"">시간이 많지 않음<br>빠르게 행동하시오</span>"
BulletinInnerFilerTut,ALTAN &nbsp; DISTRICT,"<span style=""position: relative; top: -1px; font-family: ko-7px, regular_short;"">알탄 &nbsp; 지구</span>"
BulletinInnerFilerTut,Passport Confiscation,여권 압수
BulletinInnerFilerTut,Verify ALTAN resident on id.,"<span style=""position: relative; top: -1px; font-family: ko-7px, regular_short;"">등록증에 있는 알탄 거주민 확인</span>"
BulletinInnerFilerTut,Drop passport in confiscation drawer.,"<span style=""
position: relative; top: 0px;
line-height: 10px"">압수용 선반에<br>여권을 놓으시오</span>"
BulletinInnerFilerTut,"If arresting, confiscate before detaining.","<span style=""
position: relative; top: 7px;
line-height: 10px"">체포하는 경우라면,<br>구금 전 여권을 압수해야 함</span>"
BulletinInnerCriminals,Ministry of Justice,사법부
BulletinInnerCriminals,WANTED CRIMINALS,지명수배자
BulletinInnerNews,NEWS,뉴스
BulletinPagesNote,CHECK ALL<br>PAGES,"<span style=""
line-height: 10px"">모든 페이지를<br>확인하시오</span>"
CitationInner,M.O.A. CITATION,M.O.A. 고지문
DiplomaticAuthInner,Diplomatic<br>Authorization,외교관<br>증명서
DiplomaticAuthInner,This document authorizes named agent as a diplomatic entity of a Council of Nations member state.,"<span style=""position: relative; top: -4px; line-height: 10px; font-family: ko-7px, regular_short;"">본 서류에 이름이 기입된 대리인에게 국제 의회 회원국 외교관으로서의 권한을 부여함.</span>"
DiplomaticAuthInner,AGENT,"<span style=""position: relative; top: -1px; font-family: ko-7px, regular_short;"">이름</span>"
DiplomaticAuthInner,PASSPORT,"<span style=""position: relative; top: -1px; font-family: ko-7px, regular_short;"">여권</span>"
DiplomaticAuthInner,Unconditional access to all named Council of Nations member states must be granted upon presentation.,"<span style=""position: relative; top: -8px; line-height: 9px; font-family: ko-7px, regular_short;"">모든 지정 국제 의회 회원국에서는 본 문서 지참 시 무조건적으로 입국을 허가해야 함.</span>"
DiplomaticAuthInner,This document has no expiry.,본 문서는 만료되지 않음
DiplomaticAuthInner,COUNCIL OF NATIONS - SEVEN MEMBER FORUM,"<span style=""position: relative; top: 1px; font-family: ko-7px, regular_short;"">국제 의회 - 일곱 국가 모임</span>"
EntryPermitInner,ARSTOTZKA,아스토츠카
EntryPermitInner,Entry Permit,입국 허가증
EntryPermitInner,Conditional entry to the sovereign nation of Arstotzka is hereby granted to,"<span style=""position: relative; top: -15px;
line-height: 11px;"">본 허가증은 아스토츠카 독립국에 대한 조건적 입국 허가를 다음 개인에게 제공함.</span>"
EntryPermitInner,bearing passport number,"<span style=""position: relative; top: 4px;"">소지 여권 번호</span>"
EntryPermitInner,Purpose,"<span style=""position: relative; top: -1px;"">목적</span>"
EntryPermitInner,Duration,"<span style=""position: relative; top: -1px;"">체류 기간</span>"
EntryPermitInner,Enter by,"<span style=""position: relative; top: -1px;"">입국 만료일</span>"
EntryPermitInner,Ministry of Admission,입국부
EntryTicketInner,Arstotzka,"<span style=""font-family: ko-7px, regular_short; font-size: 8px;"">아스토츠카</span>"
EntryTicketInner,ENTRY TICKET,입국표
EntryTicketInner,VALID ON,"<span style=""position: relative; top: -2px; font-family: ko-7px, regular_short;"">허가일: </span>"
EzicNoteInnerOpen,READ QUICKLY,"<span style=""position: relative; top: -1px; font-family: ko-7px, regular_short;"">빠르게 읽고</span>"
EzicNoteInnerOpen,RETURN TO MESSENGER,"<span style=""font-family: ko-7px, regular_short;"">전달자에게 돌려주시오</span>"
FamilyPhotoInner,HANG ON WALL,벽걸이용
FingerprintsInner,GIVE THIS PAPER TO APPLICANT,"<span style=""position: relative; top: -3px; font-family: ko-7px, regular_short;"">입국 신청자에게 본 종이를 제공할 것</span>"
ForgeryFlyerInnerFront,NEED FORGED<br>OBRISTAN DOCS?,"<span style=""font-family:'ko-16px';"">위조 오브리스탄<br>문서를 원해요?</span>"
ForgeryFlyerInnerFront,"""It looks so real!""","<span style=""position: relative; top: -1px; font-family: ko-7px, regular_short;"">""정말로 진짜 같아요!""</span>"
ForgeryFlyerInnerFront,"""Approved for entry!""","<span style=""position: relative; top: -1px; font-family: ko-7px, regular_short;"">""입국 허가를 받았습니다!""</span>"
ForgeryFlyerInnerFront,Fair rates!,"<span style=""position: relative; top: -1px; font-family: ko-7px, regular_short;"">적절한 비용!</span>"
ForgeryFlyerInnerFront,No questions asked!,"<span style=""position: relative; top: -1px; font-family: ko-7px, regular_short;"">아무런 질문 하지 않음!</span>"
ForgeryFlyerInnerFront,Fast turnaround!,"<span style=""position: relative; top: -1px; font-family: ko-7px, regular_short;"">빠른 작업 속도!</span>"
ForgeryFlyerInnerFront,CONDITIONS ON BACK,조건은 뒷면 참조
ForgeryFlyerInnerBack,PRICING (EACH),가격 (인당)
ForgeryFlyerInnerBack,Passport *,여권 *
ForgeryFlyerInnerBack,Entry Ticket,입국표
ForgeryFlyerInnerBack,*<br>,*<br>
ForgeryFlyerInnerBack,Client must provide existing Obristan passport to be modified with new info,새로운 정보를 담기 위해<br>고객은 반드시 기존의 오브리스탄<br>여권을 제공해야 함
ForgeryFlyerInnerBack,Service at border Arstotzka/Obristan,아스토츠카/오브리스탄<br>국경에서 제공 중
ForgeryFlyerInnerBack,Ask for Timofei Wee,Timofei Wee에게 문의바람
GymFlyerInner,Underweight?Weak?Tired?,작습니까?약합니까?피곤합니까?
GymFlyerInner,JOIN BEST GYM!,최고의 체육관 변하는 나의몸
GymFlyerInner,GET BIG TOWN,떡대촌
GymFlyerInner,East Grestin,동 그레스틴
HintMissingInner,THIS ENTRANT HAS NO DOCUMENTS,이 입국 신청자는 서류가 없음
HintMissingInner,"To proceed, use INSPECT mode to interrogate.","<span style=""line-height:12px"">진행을 위해, ""검사"" 모드로 취조하시오.</span>"
HintMissingInner,Review page 2 of today's bulletin for full instructions.,"<span style=""line-height:12px"">오늘의 공고 2페이지를 확인해 전체 정보를 확인하시오.</span>"
IdCardInner,ARSTOTZKA IDENTITY CARD,"<span style=""font-family: ko-7px, regular_short;"">아스토츠카 신분증</span>"
IdCardInner,DOB,"<span style=""font-family: ko-7px, regular_short;"">생일</span>"
IdCardInner,HT.,"<span style=""font-family: ko-7px, regular_short;"">신장</span>"
IdCardInner,WT.,"<span style=""font-family: ko-7px, regular_short;"">체중</span>"
IdentityRecordInner,M.O.A. IDENTITY RECORD,M.O.A 신원 기록
IdentityRecordInner,NAME:,"<span style=""font-family: ko-7px, regular_short;"">성명:</span>"
IdentityRecordInner,ALIAS:,"<span style=""font-family: ko-7px, regular_short;"">이명:</span>"
IdentityRecordInner,Applicant's fingerprints and claimed name/alias must match this record.,"<div style=""line-height: 9px; top:-2px;text-align:center;font-family:'ko-7px','regular';"">입국 신청자의 지문과 이름/이명이<br>반드시 본 기록과 일치해야 함</div>"
IdSupplementInner,IDENTITY<br>SUPPLEMENT,"<span style=""position: relative; top: -1px; font-family: ko-7px, regular_short;"">신원<br>보충물</span>"
IdSupplementInner,HT,신장
IdSupplementInner,WT,"<span style=""position:relative;top:1px;"">체중</span>"
IdSupplementInner,DESCRIPTION,특이사항
IdSupplementInner,THUMB,"<span style=""position:relative;top:1px;"">지문</span>"
IdSupplementInner,Keep on person,"<span style=""position: relative; top: 0px; font-family: ko-7px, regular_short;"">필히 지참</span>"
IdSupplementInner,EXP.,"<span style=""position: relative; top: -1px; font-family: ko-7px, regular_short;"">기한</span>"
LocketInnerOpen,To Sergiu from your Elisa,"<div style=""line-height: 9px; top:-1px;text-align:center;font-family:'ko-7px','regular';"">Elisa가 Sergiu<br>에게</div>"
LocketInnerOpen,I Love You Always,"<div style=""line-height: 9px; top:-2px;text-align:center;font-family:'ko-7px','regular';"">항상<br>사랑해요</div>"
LoveSongInner1,YOU,당신
LoveSongInner1,YOU ARE HOT LIKE FIRE,당신은 불처럼 뜨겁습니다
LoveSongInner2,you,당신
LoveSongInner2,OBJECT OF DESIRE,욕망의 주체입니다
LoveSongInner3,YOU<br>(AGAIN),당신<br>(다시)
LoveSongInner3,WRAP MY HEART IN WIRE,실로 내 심장을 감았어요
LoveSongInner4,ApPROVED,허가
LoveSongInner4,APPROVE MY VISA,내 입국을 허가해줘요
tweak-passport-field-padding-left,2px,0
tweak-passport-field-connect,none,block
PassportInnerAntegria,ENTRY VISA,입국 사증
PassportInnerAntegria,DOB.,생일
PassportInnerAntegria,SEX,성별
PassportInnerAntegria,ISS.,도시
PassportInnerAntegria,EXP.,만료
PassportInnerAntegria,ANTEGRIA,"<span style=""font-family:'ko-11px';font-size:12px;letter-spacing:1px;"">안테그리아</span>"
tweak-passport-arstotzka-nation,16px,16px
PassportInnerArstotzka,ENTRY VISA,입국 사증
PassportInnerArstotzka,DOB.,생일
PassportInnerArstotzka,SEX,성별
PassportInnerArstotzka,ISS.,도시
PassportInnerArstotzka,EXP.,만료
PassportInnerArstotzka,ARSTOTZKA,"<span style=""font-family:'ko-11px';font-size:12px;letter-spacing:0px;"">아스토츠카</span>"
PassportInnerImpor,ENTRY VISA,입국 사증
PassportInnerImpor,DOB.,생일
PassportInnerImpor,SEX,성별
PassportInnerImpor,ISS.,도시
PassportInnerImpor,EXP.,만료
PassportInnerImpor,IMPOR,임포르
PassportInnerKolechia,ENTRY VISA,입국 사증
PassportInnerKolechia,DOB.,생일
PassportInnerKolechia,SEX,성별
PassportInnerKolechia,ISS.,도시
PassportInnerKolechia,EXP.,만료
PassportInnerKolechia,KOLECHIA,"<span style=""font-family:'ko-11px';font-size:12px;position:relative;top:-1px;"">콜레치아</span>"
PassportInnerObristan,ENTRY VISA,입국 사증
PassportInnerObristan,DOB.,생일
PassportInnerObristan,SEX,성별
PassportInnerObristan,ISS.,도시
PassportInnerObristan,EXP.,만료
PassportInnerObristan,OBRISTAN,"<span style=""font-family:'ko-11px-bold';font-size:11px; position:relative; top:1.5px"">오브리스탄</span>"
PassportInnerRepublia,ENTRY VISA,입국 사증
PassportInnerRepublia,DOB.,생일
PassportInnerRepublia,SEX,성별
PassportInnerRepublia,ISS.,도시
PassportInnerRepublia,EXP.,만료
PassportInnerRepublia,REPUBLIA,"<span style=""font-family:'ko-11px-bold';font-size:12px;"">리퍼블리아</span>"
PassportInnerUnitedFed,ENTRY VISA,입국 사증
PassportInnerUnitedFed,DOB.,생일
PassportInnerUnitedFed,SEX,성별
PassportInnerUnitedFed,ISS.,도시
PassportInnerUnitedFed,EXP.,만료
PassportInnerUnitedFed,UNITED FEDERATION,"<span style=""font-family:'ko-9px';font-size:10px;"">연합 연방국</span>"
PlaqueOneInner,Ministry of Admission,입국부
PlaqueOneInner,RECOGNITION,공로패
PlaqueOneInner,FOR,공로자
PlaqueOneInner,HANG ON WALL,벽걸이용
PlaqueTwoInner,Ministry of Admission,입국부
PlaqueTwoInner,RECOGNITION,공로패
PlaqueTwoInner,FOR,공로자
PlaqueTwoInner,HANG ON WALL,벽걸이용
PoisonInnerBack,OPEN,열기
PoisonInnerOpen1,DO NOT TOUCH POWDER,"<span style=""line-height: 10px; font-family: ko-7px, regular_short;"">가루를 만지지 마시오</span>"
PoisonInnerOpen1,CLOSE,닫기
PoisonInnerOpen2,ALIGN POWDER OVER PASSPORT,"<span style=""line-height: 10px; font-family: ko-7px, regular_short;"">가루를 여권<br>위에 올리시오</span>"
PoisonInnerOpen2,PUSH HARD TO AFFIX,"<span style=""line-height: 10px; font-family: ko-7px, regular_short;"">달라붙도록<br>꾹 누르시오</span>"
PoisonInnerOpen2,CLOSE,닫기
PoliceBadgeInner,MINISTRY OF INFORMATION,"<span style=""
line-height: 10px; position:relative;top:--1px;"">정보부</span>"
PoliceBadgeInner,Office of Investigation,조사국
PoliceBadgeInner,East Grestin Division,동 그리스틴 지부
PoliceBadgeInner,Special Investigator,"<span style=""
line-height: 10px; position:relative;top:1px;"">특별 검사관</span>"
PoliceBadgeInner,MOI,MOI
tweak-press-pass-title-weight,'wght' 900,'wght' 900
PressPassInner,INTERNATIONAL,"<span style=""font-family: ko-7px, regular_short;"">국제</span>"
PressPassInner,PRESS,"<span style=""font-size:13pt"">언론인</span>"
PressPassInner,IDENTIFICATION,"<span style=""font-family: ko-7px, regular_short; position: relative; top: -1px;"">신분 증명서</span>"
RuleDiploAccess,AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA,"<span style=""line-height: 9px; font-family: ko-7px, regular_short; position: relative; top: -1px;"">아스토츠카로의<br>입국 허가를<br>반드시 받아야 함</span>"
RuleIssuingCity,PASSPORT <span>ISS.</span> FIELD MUST BE VALID,"여권의 <span style=""padding: 0px 1px 1px; font-family: ko-7px, regular_short;"">도시</span> 부분이<br>반드시 유효해야 함"
RuleSealRequired,DOCUMENT MUST<br>HAVE A SEAL,"<span style=""line-height: 9px; font-family: ko-7px, regular_short; position: relative; top: -2px;"">문서에 반드시<br>인장이 있어야 함</span>"
RulesInnerHome,Arstotzkan,아스토츠카
RulesInnerHome,Ministry<span>of</span>Admission,"<div style=""position:relative;top:10px;"">입국부</div>"
RulesInnerHome,RULES,규정
RulesInnerHome,&amp;,&amp;
RulesInnerHome,REGULATIONS,"<span style=""position: relative; top: 4px; font-family: title_thick, ko-11px-bold;"">규범</span>"
RulesInnerHome,for Inspectors,검사관용
RulesInnerHome,CONTENTS,내용물
RulesInnerHome,PROPERTY OF,M.O.A
RulesInnerHome,M.O.A,자산
RulesInnerBasic,RULES,규정
RulesInnerRegion,DIPLOMATIC SEALS,외교 인장
RulesInnerRegion,PASSPORT,여권
RulesInnerRegion,ISSUING CITIES,발행 도시
RulesInnerRegionArstotzka,DISTRICTS,지구
RulesInnerRegionArstotzka,PASSPORT,여권
RulesInnerRegionArstotzka,ISSUING CITIES,발행 도시
RulesInnerBooth,INSPECTOR'S BOOTH,"<span style=""position: relative; line-height: 14px; top: -4px; font-family: title_thick, ko-11px-bold;"">검사관<br>심사대</span>"
RulesInnerBooth,Shutter,"<span style=""font-family: ko-7px, regular_short; position: relative; top: -1px;"">셔터</span>"
RulesInnerBooth,Counter,"<span style=""font-family: ko-7px, regular_short; position: relative; top: -1px;"">검사대</span>"
RulesInnerBooth,Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date,"<span style=""font-family: ko-7px, regular_short; position: relative; top: -1px;"">규정집<br>음성 기록<br>공고문<br>시간, 날짜</span>"
RulesInnerBooth,UPGRADES,업그레이드
RulesInnerBooth,NO UPGRADES<br>INSTALLED,"<span style=""
line-height: 10px
"">설치된 업그레이드<br>없음</span>"
RulesInnerBooth2,INSPECTOR'S BOOTH,"<span style=""position: relative; line-height: 14px; top: -4px; font-family: title_thick, ko-11px-bold;"">검사관<br>심사대</span>"
RulesInnerBooth2,Shutter,"<span style=""font-family: ko-7px, regular_short; position: relative; top: -1px;"">셔터</span>"
RulesInnerBooth2,Counter,"<span style=""font-family: ko-7px, regular_short; position: relative; top: -1px;"">검사대</span>"
RulesInnerBooth2,Audio Trans.<br>Rule Book<br>Weight,"<span style=""font-family: ko-7px, regular_short; position: relative;"">음성 기록<br>규정집<br>중량</span>"
RulesInnerBooth2,Bulletin<br>Time &amp; Date,"<span style=""font-family: ko-7px, regular_short; position: relative;"">공고문<br>시간, 날짜</span>"
RulesInnerBooth2,UPGRADES,업그레이드
RulesInnerBooth2,NO UPGRADES<br>INSTALLED,"<span style=""
line-height: 10px
"">설치된 업그레이드<br>없음</span>"
RulesInnerBooth3,INSPECTOR'S BOOTH,"<span style=""position: relative; line-height: 14px; top: -4px; font-family: title_thick, ko-11px-bold;"">검사관<br>심사대</span>"
RulesInnerBooth3,Shutter<br>Time &amp; Date<br>Weight,"<span style=""font-family: ko-7px, regular_short; position: relative; top: -1px;"">셔터<br>시간,날짜<br>중량</span>"
RulesInnerBooth3,Counter,"<span style=""font-family: ko-7px, regular_short; position: relative;"">검사대</span>"
RulesInnerBooth3,Rule Book<br>Audio Trans.<br>Bulletin,"<span style=""font-family: ko-7px, regular_short; position: relative; top: -1px;"">규정집<br>음성 기록<br>공고문</span>"
RulesInnerBooth3,UPGRADES,업그레이드
RulesInnerBooth3,NO UPGRADES<br>INSTALLED,"<span style=""
line-height: 10px
"">설치된 업그레이드<br>없음</span>"
RulesInnerDocs,OFFICIALLY RECOGNIZED,공인
RulesInnerDocs,DOCUMENTS,"<span style=""position: relative; top: 3px; font-family: title_thick, ko-11px-bold;"">문서</span>"
RulesInnerDocs,CONTENTS,내용물
RulesInnerEntryPermit,ENTRY PERMIT,입국 허가증
RulesInnerEntryPermit,VALID SEALS,유효 인장
RulesInnerIdCard,ARSTOTZKAN<br>ID CARD,"<span style=""position: relative; line-height: 14px; font-family: title_thick, ko-11px-bold;"">아스토츠카<br>시민등록증</span>"
RulesInnerIdCard,ISSUED TO ALL ARSTOTZKAN CITIZENS,"<span style=""
line-height: 12px
"">모든 아스토츠카<br>시민에게 발급됨</span>"
RulesInnerIdCard,DISTRICTS,지구
RulesInnerIdSupplement,IDENTITY<br>SUPPLEMENT,"<span style=""position: relative; line-height: 14px; font-family: title_thick, ko-11px-bold;"">신원<br>보충물</span>"
RulesInnerIdSupplement,ISSUED TO ALL QUALIFIED FOREIGNERS,"<span style=""
position: relative; top: 7px;
line-height: 12px
"">모든 자격을 갖춘 외국인에게 발급</span>"
RulesInnerIdSupplement,FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE,"<span style=""position:relative;top:12px;line-height:11px;"">외국인의 신체적 외형 확인 용도</span>"
RulesInnerIdSupplement,VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE,"<span style=""position:relative;top:8px;line-height:11px;"">지문 기록을 이용 가능할 때 엄지 지문 확인</span>"
RulesInnerIdSupplement,THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY,"<span style=""position:relative;top:-3px;line-height:11px;"">간략한 기밀 문서. 만료일을 꼭 확인할 것</span>"
RulesInnerAccessPermit,ACCESS PERMIT,접근 허가증
RulesInnerAccessPermit,VALID SEALS,유효 인장
RulesInnerAccessPermit,THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT,"<span style=""
position: relative; top: 0px;
line-height: 11px
"">본 문서는 입국 허가증과 신원 보충물을 대체함</span>"
RulesInnerWorkPermit,WORK PASS,노동 허가서
RulesInnerWorkPermit,ISSUED TO ALL QUALIFIED FOREIGN LABOR,"<span style=""
position: relative; top: 3px;
line-height: 10px
"">모든 자격을 갖춘 노동자에게 발급됨</span>"
RulesInnerWorkPermit,VALID SEALS,유효 인장
RulesInnerDiplomaticAuth,DIPLOMATIC,외교관
RulesInnerDiplomaticAuth,AUTHORIZATION,증명서
RulesInnerDiplomaticAuth,VALIDATE SEAL WITH COUNTRY PAGE,"<span style=""
position: relative; top: 1px;
line-height: 11px
"">각 국가 페이지에서<br>인장 확인</span>"
RulesInnerAsylumGrant,GRANT OF<br>ASYLUM,"<span style=""position: relative; top: 10px; font-family: title_thick, ko-11px-bold;"">망명 허가증</span>"
RulesInnerAsylumGrant,VALID SEALS,유효 인장
RulesInnerAsylumGrant,ALWAYS VERIFY FINGERPRINTS,상시 지문 확인
RulesInnerVaccineCert,VACCINE CERTIFICATE,"<span style=""position: relative; top: 10px; font-family: title_thick, ko-11px-bold;"">백신 증명서</span>"
RulesInnerVaccineCert,MINISTRY,"<span style=""position: relative; top: 2px; font-family: title_thick, ko-11px-bold;"">보건부</span>"
RulesInnerVaccineCert,OF,<span></span>
RulesInnerVaccineCert,HEALTH,"<span style=""font-family: title_thick, ko-11px-bold;""></span>"
RulesInnerVaccineCert,REGULATION DOCUMENT,"<span style=""position:relative;top:5px;"">규칙 문서</span>"
RulesInnerVaccineCert,POLIO VACCINATION REQUIRED FOR ALL ENTRANTS,"<span style=""position: relative; top: 0px; line-height: 10px; font-family: ko-7px, regular_short;"">모든 입국자는<br>소아마비 접종 필요</span>"
RulesInnerVaccineCert,NO EXCEPTIONS,"<span style=""position: relative; top: -4px; line-height: 10px; font-family: ko-7px, regular_short;"">예외 없음</span>"
